Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
4219,Hindi,6,संकल्प,डॉ आर के डबास, सरस्वती हाउस प्राइवेट लिमिटेड,0,252,good,8330,1
4220,Hindi,2,व्याकरण पुष्प,डॉक्टर प्रोमिला चोपड़ा,चित्रा प्रकाशन ,2017,160,good,8330,1
4221,Hindi,5,गरिमा,वीरेंद्र जैन,मधुबन चैनल,2010,315,good,8330,1
4222,Hindi,1,स्वर सुलेख,संध्या सिंह,अमृता प्रकाशन,2015,120,good,8330,1
4223,Hindi,0,अक्षर परिचय,डॉक्टर निशा पेशेंट,डॉ ए वी कॉलेज,0,50,good,8330,1
4224,Hindi,0,सुलेख माला,डॉक्टर देवेंद्र शर्मा,प्राची प्राइवेट लिमिटेड,0,120,good,8330,1
4225,Hindi,7,कथा सरोवर,हरिश्चंद्र,सोम सुधा प्रकाशन,0,70,good,,1
4226,Hindi,7,नरेश प्रबुद्ध,नेहा गॉड,नरचर इंडिया पब्लिकेशन,0,275,good,,1
4227,Hindi,6,निर्झर,डॉ मंजू तिवारी,गौतम ब्रदर्स,0,100,good,,1
4228,Hindi,6,अनुगूंज,इंदिरा वेद,ऑडियोलाइन पब्लिकेशन,2016,290,good,,1
4229,Hindi,6,संजय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशन,0,195,good,,1
4230,Hindi,6,हिंदी सुरभी,कविता शर्मा,होली फेथ इंटरनेशनल प्राइवेट लिमिटेड,2005,250,good,,1
4231,Hindi,6,राष्ट्रीय भाषा,डॉ सुरेंद्र कौर,एवरग्रीन पब्लिकेशंस,2013,180,good,,1
4232,Hindi,7,संजय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशंस,0,215,good,,1
4233,Hindi,6,हिंदी अनुपम धारा,मधुबाला रस्तोगी,आ टी पब्लिशर्स,2011,160,good,,1
4234,Hindi,6,बिजीबीस हिंदी पाठमाला,निंदा फातिमा,एक विशाल पब्लिकेशंस,2016,285,good,,1
4235,Hindi,6,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशंस,0,195,good,,1
4236,Hindi,6,संजय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशंस,0,195,good,,1
4237,Hindi,8,संजय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशंस,0,165,good,,1
4238,Hindi,8,नर्चर प्रबुद्ध,नेहा गौर,नरचर इंडिया पब्लिकेशन,0,285,good,,1
4239,Hindi,5,भाषा उपवन,संगीता एवं शालिनी,फ्रैंक अजुकेशन,2015,220,good,,1
4240,Hindi,8,संगिनी,आर पी श्रीवास्तव,,2014,257,good,,1
4241,Hindi,3,भाषा भारती,शालिग्राम मिश्रा,गौतम ब्रदर्स,2014,27,good,,1
4242,Hindi,5,हिंदी सीखो और लिखो,श्रीमती बी आर दीन,जीवनदीप प्रकाशन,2014,100,good,,1
4243,Hindi,1,हिंदी सुरभी,मनीष जुनेजा,होली फेथ इंटरनेशनल,2014,190,good,,1
4244,Hindi,2,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लनर्स,2014,200,good,,1
4245,Hindi,1,नाचे गाने धूम मचाए,देवेंद्र कुमार शर्मा,नेहा पब्लिशिंग हाउस,2012,65,good,,1
4246,Hindi,1,हिंदी प्रवेशिका ,श्रीमती बी आर दीन,जीवनदीप प्रकाशन,2012,92,good,,1
4247,Hindi,2,हिंदी सीखो और लिखो,श्रीमती बी आर दीन,जीवनदीप प्रकाशन,2012,88,good,,1
4248,Hindi,4,हिंदी सीखो और लिखो,श्रीमती बी आर दीन,जीवनदीप प्रकाशन,2012,92,good,,1
4249,Hindi,3,हिंदी सीखो और लिखो,श्रीमती बी आर दीन,जीवनदीप प्रकाशन,2012,100,good,,1
4250,Hindi,3,हिंदी सीखो और लिखो,श्रीमती बी आर दीन,जीवनदीप प्रकाशन,2012,92,good,,1
4251,Hindi,2,बीसी 20 हिंदी,निदा फातिमा,रामेश्वर प्रसाद,2017,235,good,,1
4252,Hindi,3,हिंदी सीखो और लिखो,श्रीमती बी आर दीन,जीवनदीप प्रकाशन,2017,95,good,,1
4253,Hindi,1,सुलेख सरिता,बिना आहूजा,सोन का पब्लिकेशन,2017,125,good,,1
4254,Hindi,0,सुलेख सरिता,बिना आहूजा,सोन का पब्लिकेशन,2017,145,good,,1
4255,Hindi,3,सुलेख सरिता,बिना आहूजा,सोन का पब्लिकेशन,2017,125,good,,1
4256,Hindi,5,उमंग,जेपी तरंग,एफ के पब्लिकेशन,2017,130,good,,1
4257,Hindi,2,सुरुचि,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशन,2017,125,good,,1
4258,Hindi,5,कल्पतरु,"डॉ आर के डबास, डॉ माधुरी",सरस्वती हाउस प्राइवेट लिमिटेड,0,220,good,8330,2
4259,Hindi,5,नवयुग हिंदी व्याकरण,सत्यदेव सरल,कोहिनूर पब्लिकेशंस,0,69,good,8330,2
4260,Hindi,5,वीथिका,राजेंद्र कुमार शास्त्री,रेडिकल बुक्स,2010,110,good,8330,2
4261,Hindi,3,वसुंधरा,डॉक्टर चंद्र शर्मा,तरुण पब्लिकेशन,2045,210,good,8330,2
4262,Hindi,5,वीथिका,राजेंद्र कुमार शास्त्री,रेडिकल बुक्स,2010,110,good,8330,2
4263,Hindi,4,रंगोली,"गीता बुद्धि राजा, डॉक्टर सिंधु",न्यू सरस्वती हाउस,2016,240,good,8330,2
4264,Hindi,5,कल्पतरू शिक्षक दर्शिका,डॉक्टर आरके डबास डॉ माधुरी,न्यू सरस्वती हाउस,2015,110,good,8330,2
4265,Hindi,5,मिलेनियम,डॉ एस पी चौधरी,फ्लैमिंगो बुक्स,0,120.5,good,8330,2
4266,Hindi,5,व्याकरण वाटिका,डॉ अनुराधा,मधुबन,2006,66,good,8330,2
4267,Hindi,5,व्याकरण भारती,हरीश चंद्र,मोहित प्रकाशन,0,62,good,8330,2
4268,Hindi,2,सुलेख सरिता,वीणा आहूजा,सोनिका,0,125,good,8330,2
4269,Hindi,5,व्याकरण वाटिका,डॉ अनुराधा,मधुबन,2009,102,good,8330,2
4270,Hindi,5,लक्ष्य,उषा छाबड़ा,sapphire publisher,0,90,good,8330,2
4271,Hindi,4,हिंदी सुलेख,निंदा फातिमा,acevision,2017,110,good,8330,2
4272,Hindi,3,चंद्रकिरण,"रमन मित्तल ,पुष्प लता श्रीवास्तव",फ्रैंक ब्रदर्स एंड,2001,54.9,good,8330,2
4273,Hindi,6,हिंदी पाठ्यपुस्तक,निशा खत्री,nine hats,0,240,good,8330,2
4274,Hindi,3,पल्लव,श्रीमती हरिप्रिया,नीता प्रकाशन,2014,145,good,8330,2
4275,Hindi,0,अक्षर सीखे सरगम गाए,राजेश कुमार विद्यार्थी,dolphin books,0,119.9,good,8330,2
4276,Hindi,3,सरगम,गीता बुद्धि राज,न्यू सरस्वती हाउस,2016,115,good,8330,2
4277,Hindi,3,आधार,रेखा ग्रोवर,inspiration publications,0,109,good,8330,2
4278,Hindi,3,हिंदी पाठमाला,निदा फातिमा,acevision,2016,195,good,8330,2
4280,Hindi,1, भाषा अभ्यास,डॉ मंजू तिवारी,Robin international,0,36,good,8330,2
4281,Hindi,1,राष्ट्रीय भाषा,श्रीमती कविता रफी,एवरग्रीन,2013,120,good,8330,2
4282,Hindi,1,हिंदी सुरभि,कविता शर्मा,होली फेथ इंटरनेशनल,0,190,good,8330,2
4283,Hindi,1, हिंदी अनुपम धारा,मधुबाला रस्तोगी,आरती पब्लिशर्स,2014,120,good,8330,2
4284,Hindi,1,हिंदी पाठमाला,नींद फातिमा,acevision,2017,225,good,8330,2
4285,Hindi,2,अनुराग,सत्य नारायण लाल बंकिमचंद्र,ओरिएंटल लोंगमैन,2007,57,good,8330,2
4286,Hindi,3,अनुराग,सत्य नारायण लाल बंकिमचंद्र,ओरिएंटल लोंगमैन,2006,58,good,8330,2
4287,Hindi,3,अनुराग,सत्य नारायण लाल बंकिमचंद्र,ओरिएंटल लोंगमैन,2006,58,good,8330,2
4288,Hindi,3,निर्झर,डॉ मंजू तिवारी,शंकर गौतम ब्रदर्स,0,110,good,8330,2
4289,Hindi,4,अनुराग,सत्य नारायण लाल बंकिमचंद्र,ओरिएंटल लोंगमैन,2005,54,good,8330,2
